text,sentiment
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",NEU
Grabbing coffee from  then making mom breakfast,NEU
im thinking that im going to have fun tonight....and maybe some changes are coming,POS
Grabbing coffee from  then making mom breakfast,NEU
im thinking that im going to have fun tonight....and maybe some changes are coming,POS
 thanks. before the major chop.,NEU
" Haha I know, I cant handle the fame!  and thank you!",POS
just got up and updated my ipod,NEU
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,POS
 We never miss ICarly - my son has a huge crush on Miranda,POS
Saw James carville in the store today. His head is really that bald,NEU
I love blue and programming,NEU
 which means you`re just going to have to come back to vancouver and have it our way! hahah,NEU
Feeling smooth like chrome,POS
Errors are red but my life is looks like blue film,NEG
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",NEU
"Errors are red but my life is blue, I love rose and your lips baby",POS
 Sounds like me,NEU
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,NEU
Walking to class. I hate not having a bike....especially mine.,NEG
sounds good,NEU
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",POS
happy mother`s day to all the mothers in the world.,POS
"I've got a fever, can you chcek, a good song, I'm listening this song everytime",POS
Fun night! Listened through the next episode of this turkey drama,POS
The exception for a short dude: Larenz fineass Tate yum,NEU
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",POS
 Yes i work 6 to 3...,NEU
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",NEU
Done at the spa   now meeting vic for some late lunch!,NEU
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,POS
 Always have wanted to go to Oz,NEU
 Thx,NEU
I love this youtube tutorial,POS
  that`s why I need to be there...To represent the Blackberries,POS
 If only we could ever actually be allowed to stay here and do that,NEU
 Let me know how that turns out!!,NEU
 was that sass I detect?  As long as it isn`t back sass! Haha,NEU
" yeah I was thinking about that ,ahaha",POS
 Dont know whether that helps. Google it to know more,NEU
I`m not sleeping at all until  accepts my appology,NEG
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",NEG
" I live for pain, bring it on",NEU
"okay, i`m out for a while  back later!",NEU
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,NEU
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,POS
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,NEU
going to shower because i don`t want to smell at school tomorrow,NEU
 Sigh... you know I am...,NEU
"discovered cause of a bug in the new  4 build. Publishing bug fix now, hopefully new beta by tomorrow",POS
Here are 4 FREE notebooks to know machine learning well,NEU
just got home from work.... and is chugging down a big bottle of apple juice.,NEU
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,NEG
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,POS
 it was only once for my big brother...and I`m done now,NEU
good news: finally finished my workout that has been paused for 6 hours. bad news: my resistance band is torn,NEU
FTSK and Mercy Mercedes were amazing tonight.. as always,POS
  hope he is ok!,POS
can`t school just be done already? it hurts too much... seeing him every day,POS
 Hell Yeah!,NEU
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,NEU
 i know!!,NEU
 huh what the ****? Smelly? Noooo. I love alex Vixon,NEU
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",POS
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",POS
HAPPY MOTHERS DAY.!,POS
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",POS
  Thanks,POS
twittering after 2 days!,NEU
Getting ready for week  Its too nice today to be stuck inside working!,POS
I am tres depressed,NEG
Happy Mothers Day people. i love my mom a lot still,POS
 I`m sorry to hear that.,NEG
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",POS
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",POS
Is getting the hang of Twitter.,NEU
I want it BACK NOW!,NEU
Going to miss my roomie ... We will no longer be roomies starting tomorrow,NEG
"bathing with two little angels, Keyla and Janice.",NEU
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",NEG
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,NEU
"Family is here,hanging with them",NEU
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,POS
 what`s goin on hun?  I`m worried about you,NEG
 Im not bannished... but I am at work till 6,NEG
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",NEU
" red top tabloids, build em up, knock em down",NEU
tonight in party w/ my girls (minus vita),POS
  why not now you made me sad I thought you`d be jumping for joy,NEU
 Simple my,NEU
" I saw the play of it here, it was amazing",POS
i am glad to break my twitter virginity with you two.,POS
Dinner with the fam... I have missed them,NEG
"Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",NEU
Hell yeah Kellynn got a Twitter. Finally.,NEU
" I know   It was worth a shot, though!",POS
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",POS
Ship. I`m stuck.,NEG
DUSTBIN BABY ON AT 11.30 Cannot wait  x,POS
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",NEG
whats the day going on,NEU
It looks like the office TV DOES get MLB Network,NEU
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,NEU
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,NEG
today is a busy day. exhausting!,NEG
" I was going to go on Sunday, but now I`ve got too much going on that weekend",NEU
 Sorry to hear ur flight got cancelled  that blows!!!,NEG
ohh my tooth is hurts ohh  im sad it very hurts,NEG
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,NEG
 Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,NEU
sore throat. Planning the TET outing to Marwell though...good times,NEU
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,NEG
 There!,NEU
?sucks!?..,NEG
 whens the sway sway winner announced?,NEU
 K will check it out...,NEU
" doing pretty well, up and wide awake",POS
I Miss Daddy and Mommy,NEG
I just realized that I can`t forward text msgs with my iPhone.,NEU
"My frist post... Off to find a new car for my parents, exciting!",POS
seriously bored without anyone to talk to... but not tired enough for sleep,NEG
 I am lost. Please help me find a good home.,NEG
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,NEG
 LMAO... Smh!  that one threw me off.,NEU
 oh nice going!,POS
Is getting ready for work... Working all weekend,NEU
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,POS
 i agree with you!,POS
 I only do computers. Am hopeless at everything else,NEG
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",POS
_2nd aww thanks!,POS
 Sorry RB is on PS3 for me,NEG
I saw amazing heeels. But they were too big,NEU
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,NEG
dang last url went down  ? http://blip.fm/~7aigm,NEG
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",NEG
 Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,NEG
 my boss. She`s moving to NYC,NEU
this is sooo crazy i have fever..,NEG
I think i need some new friends,NEU
 Looking forward to your gig in Ireland!!!  See ya there!,NEU
I' watching a movie name Adimurie,POS
aww  you loooove me,POS
"is hungry, twitter.  i want food.",NEU
awesome lucky you,POS
" yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",NEU
" haha im jewish, i love that one",POS
"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",NEU
 l`m on 3 days too matt. No fun this weekend.,NEG
 u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,NEU
 I feel your pain. Mine is the same way,NEG
comes home in two days,NEU
 Sadly no. It didn`t come with one...,NEG
Cant wait to see my boy tomorrow,POS
 ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,NEU
 aww I miss driving down elmwood,NEG
Omg Wango Tango was **** AWSOME! I love my baby for taking me,POS
"Version 2 of our live, interactive Trans-Siberian ticket planner is launched",POS
_30439 I really wish I could go!,POS
" yeah real hard, but I know you`ll get by with it... smile",NEU
 I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,NEG
  This has made my night!!  Way too funny!!,POS
Woo CAVS.  Happy Mother`s Day!,POS
 I make that same face when I get home and your mom is watching soaps.,NEU
I have to go to work now.,NEU
 I can`t believe you went and got boba without me.,NEU
"  And to you too, how are you today?",NEU
 Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,POS
19 days and counting,NEU
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,NEG
BRAINFREEZE,NEU
"My sunburn is peeling,",NEG
perky purple nail polish isn`t as perky when its chipped,NEU
I hate the dentist,NEG
" nothing aimed at you, just joining in...sorry",NEG
I`m taking a twitter break. Cell is dying,NEG
 qood morninq,NEU
writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,NEU
needs more followers,NEU
I wish I could get my nails done  stupid job,NEG
 the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,NEU
 Have a good one,POS
" yep infact she is popular, miss india 99, talented film actress .... and lot more",POS
Dosen`t Want To Go To Work Tomorrow,NEG
Daniel has won DSDS. His voice is great.,POS
I need blood O negative,NEU
was hoping to go to Red Lobster this weekend,NEU
_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,POS
I sure do hope it becomes 4:20 this afternoon ...,POS
 it means that you are now FAMOUS. Congrats!,POS
My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,NEG
tamlyn wishes she was as cool as my sock draw,POS
 so no rice or crusty bread with the chili .... aawww,NEU
"  We are of like minds this evening , my dear!",NEU
come and save me from my packing please?!,NEU
"Yes, I love tea. If that makes me typically English then so be it",POS
 a mouth for sure,POS
 pancakes!! with lemon and sugar thanks!,POS
" Si, no bueno  I guess I just don`t entertain him ",NEG
I`m so hunrgy right now and these heels kill me I can hardly walk in them,NEG
both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,NEG
" Yay, three followers! Good to know more than one person in this big wide world likes fishies.",POS
'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,NEG
Goodmorning,POS
Took a shift tomorrow.    I don`t really feel like working right now.,NEG
" I love mine, too . happy motherÃ¯Â¿Â½s day to your mom , John Taylor  . much love to you, too .",POS
Saw a black snake in the garden.  Went back for a picture and it was gone,NEU
http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,POS
No waterfront anymore   faccia luna and clarendon will have to do,NEG
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,POS
Slipped up and caught the flu  feeling like poop!,NEG
"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",POS
Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,NEG
Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.,NEU
"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has",NEU
" If u do, please pray 4 me.  Lord knows I need it.",NEU
aaaaaw i want to live in the USA,NEU
Morning tweeple,POS
" Hey, I didn`t get any !!!",NEU
 Now you only have 2 hours to sleep...  - Rest if you need it.,POS
"  That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",NEU
I don`t want to sit at home on prom night. Someone hang out with me,NEG
Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,POS
concert tonight  chackin out and not coming tomorrow!,NEU
 what happened? I thought you were coming back today....,NEU
 lol dammit  well then next time then,NEG
 lol. just don`t ever forget me,POS
 Still jealous,NEG
Me at Forever 21  Ethan couldn`t be there,NEG
NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,NEG
this week of mine was not easy!  but finally it`s over! (:,NEG
   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,POS
In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,POS
" 'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....",NEU
"just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!",NEU
 but you always have lee. Let`s go to Paris,NEU
 you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!,POS
cooking with my dad  having lots of fun in the kitchen together,POS
Bouncing Rush makes me feel nauseous,NEG
Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,POS
playing singstar without my fave duetter,NEG
"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",POS
" That`s just weird... :\  Oh, and what was it you were drawing for me?",NEG
Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,POS
"The birds are out,, oh man... That`s NOT cool && I didn`t sleep yet for the night!!!",NEG
"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.",POS
"My Street Fighter IV skills are lacking, can`t beat Seth on easy.",NEG
 FIL 461 with cool people like me,POS
Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,POS
 i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.,NEU
my son got stung by a bug for the first time  his little finger is slightly swollen.,NEG
 it was hours ago i came in.... and it`s only now i realised when i went to buy something online,NEU
 oh just referring to our lil exchange on LJ with regards to twitter archive postings.,NEU
Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.,NEG
Here`s a brief preview:   OMG James is creepy in that role! I`m scared of him,NEG
I`m missing crab legs and attending my going away instead!,NEG
Hicks are mean!,NEG
"back soon, need to run to the shops and cut the grass",NEU
I`m up. I have a plan to transform my bedroom today. Random.,NEU
 thats another sponsor,NEU
" And most of us are going to be stuck in an office, some without windows",NEG
 No it`s not sad. Should make you proud,NEG
"   Sorry, we`ll try to keep it down.",NEG
is home alone.. Doing hw,NEU
"According to , a quarter of families under six live in poverty.",NEG
the plan to not spend money is not going well,NEG
uploading all my bamboozle pictures of facebook,NEU
 congratulations ! you guys finish a month early than we do. booo,POS
" actually, I wish I was back in Tahoe.  I miss it there.",NEG
